Time|s,DOAScon.supFanStart,testBed.returnairtemp,testBed.outdoorairtemp
1.688604e+07,1,294.81726,311.1179
1.688607e+07,1,294.8209,311.13733
1.688607e+07,1,294.8209,311.13733
16886076,1,294.82352,311.14102
16886076,1,294.82352,311.14102
1.688609e+07,1,294.8117,311.14972
1.688609e+07,1,294.8117,311.14972
1.68861e+07,1,294.82504,311.15674
1.68861e+07,1,294.82504,311.15674
1.688613e+07,1,294.82352,311.17615
1.688613e+07,1,294.82352,311.17615
1.688616e+07,1,294.82013,311.1955
1.688616e+07,1,294.82013,311.1955
1.688617e+07,1,294.81134,311.20132
1.688617e+07,1,294.81134,311.20132
1.688619e+07,1,294.81473,311.2148
1.688619e+07,1,294.81473,311.2148
16886196,1,294.8155,311.21866
16886196,1,294.8155,311.21866
1.688622e+07,1,294.8076,311.23413
1.688622e+07,1,294.8076,311.23413
1.688625e+07,1,294.8265,311.2534
1.688625e+07,1,294.8265,311.2534
1.688628e+07,1,294.81943,311.2726
1.688628e+07,1,294.81943,311.2726
16886288,1,294.81137,311.2771
16886288,1,294.81137,311.2771
16886296,1,294.80994,311.28223
16886296,1,294.8101,311.2823
16886296,1,294.81024,311.28232
16886296,1,294.8104,311.28238
16886296,1,294.81058,311.28244
16886296,1,294.81073,311.2825
16886296,1,294.81088,311.28253
16886296,1,294.81104,311.2826
16886296,1,294.8112,311.28265
16886296,1,294.81134,311.2827
16886296,1,294.8115,311.28275
16886296,1,294.8116,311.2828
16886296,1,294.81177,311.28287
16886296,1,294.8119,311.2829
1.688631e+07,1,294.806,311.29178
1.688631e+07,1,294.806,311.29178
1.688634e+07,1,294.81183,311.3109
1.688634e+07,1,294.81183,311.3109
1.688637e+07,1,294.8184,311.33002
1.688637e+07,1,294.8184,311.33002
16886372,1,294.82547,311.33115
16886372,1,294.82547,311.33115
1.68864e+07,1,294.82907,311.34906
1.68864e+07,1,294.82907,311.34906
1.688643e+07,1,294.82462,311.36807
1.688643e+07,1,294.82462,311.36807
1.688646e+07,1,294.81732,311.38702
1.688646e+07,1,294.81732,311.38702
16886468,1,294.80984,311.39154
16886468,1,294.80984,311.39154
1.688649e+07,1,294.8087,311.40594
1.688649e+07,1,294.8087,311.40594
1.688652e+07,1,294.81418,311.42477
1.688652e+07,1,294.81418,311.42477
16886532,1,294.80933,311.43262
16886532,1,294.80933,311.43262
1.688655e+07,1,294.83105,311.44357
1.688655e+07,1,294.83105,311.44357
1.688658e+07,1,294.82626,311.4623
1.688658e+07,1,294.82626,311.4623
1.688661e+07,1,294.8307,311.481
1.688661e+07,1,294.8307,311.481
1.688664e+07,1,294.82944,311.4996
1.688664e+07,1,294.82944,311.4996
1.688667e+07,1,294.82028,311.51813
1.688667e+07,1,294.82028,311.51813
1.688668e+07,1,294.82147,311.52374
1.688668e+07,1,294.82147,311.52374
16886686,1,294.8147,311.52853
16886686,1,294.8147,311.52853
1.68867e+07,1,294.81924,311.53662
1.68867e+07,1,294.81924,311.53662
1.688673e+07,1,294.81253,311.55502
1.688673e+07,1,294.81253,311.55502
1.688676e+07,1,294.8209,311.57324
1.688676e+07,1,294.8209,311.57324
1.688676e+07,1,294.8207,311.57336
1.688676e+07,1,294.8207,311.57336
1.688679e+07,1,294.818,311.59164
1.688679e+07,1,294.818,311.59164
1.688682e+07,1,294.8234,311.60983
1.688682e+07,1,294.8234,311.60983
1.688685e+07,1,294.83325,311.62796
1.688685e+07,1,294.83325,311.62796
1.688688e+07,1,294.84537,311.646
1.688688e+07,1,294.84537,311.646
16886882,1,294.8447,311.64688
16886882,1,294.8447,311.64688
1.688691e+07,1,294.84204,311.66397
1.688691e+07,1,294.84204,311.66397
16886918,1,294.83484,311.66824
16886918,1,294.83484,311.66824
1.688694e+07,1,294.8324,311.68182
1.688694e+07,1,294.8324,311.68182
1.688697e+07,1,294.8304,311.69962
1.688697e+07,1,294.8304,311.69962
1.6887e+07,1,294.8341,311.71735
1.6887e+07,1,294.8341,311.71735
1.688703e+07,1,294.83643,311.73495
1.688703e+07,1,294.83643,311.73495
1.688706e+07,1,294.84058,311.75247
1.688706e+07,1,294.84058,311.75247
1.688709e+07,1,294.84778,311.7699
1.688709e+07,1,294.84778,311.7699
16887096,1,294.86517,311.7731
16887096,1,294.86517,311.7731
1.688712e+07,1,294.84647,311.78677
1.688712e+07,1,294.84647,311.78677
1.688712e+07,1,294.85007,311.78723
1.688712e+07,1,294.85007,311.78723
1.688715e+07,1,294.86465,311.80447
1.688715e+07,1,294.86465,311.80447
16887178,1,294.866,311.82098
16887178,1,294.866,311.82098
1.688718e+07,1,294.86426,311.82162
1.688718e+07,1,294.86426,311.82162
1.688721e+07,1,294.87222,311.83865
1.688721e+07,1,294.87222,311.83865
1.688724e+07,1,294.85815,311.8556
1.688724e+07,1,294.85815,311.8556
1.688727e+07,1,294.85867,311.87244
1.688727e+07,1,294.85867,311.87244
16887284,1,294.88687,311.88046
16887284,1,294.88687,311.88046
1.68873e+07,1,294.8648,311.88916
1.68873e+07,1,294.8648,311.88916
1.688733e+07,1,294.86407,311.90576
1.688733e+07,1,294.86407,311.90576
16887336,1,294.88068,311.9089
16887336,1,294.88068,311.9089
1.688736e+07,1,294.86743,311.92227
1.688736e+07,1,294.86743,311.92227
16887364,1,294.88333,311.92465
16887364,1,294.88333,311.92465
1.688739e+07,1,294.88388,311.93866
1.688739e+07,1,294.88388,311.93866
1.688742e+07,1,294.8732,311.95493
1.688742e+07,1,294.8732,311.95493
1.688745e+07,1,294.87305,311.97107
1.688745e+07,1,294.87305,311.97107
16887458,1,294.87198,311.97543
16887458,1,294.87198,311.97543
1.688748e+07,1,294.8769,311.9871
1.688748e+07,1,294.8769,311.9871
1.688751e+07,1,294.87875,312.00302
1.688751e+07,1,294.87875,312.00302
16887538,1,294.88184,312.01822
16887538,1,294.88184,312.01822
1.688754e+07,1,294.88632,312.0188
1.688754e+07,1,294.88632,312.0188
16887568,1,294.88864,312.03348
16887568,1,294.88864,312.03348
1.688757e+07,1,294.88715,312.03445
1.688757e+07,1,294.88715,312.03445
1.68876e+07,1,294.90475,312.05
1.68876e+07,1,294.90475,312.05
1.688763e+07,1,294.90985,312.06534
1.688763e+07,1,294.90985,312.06534
1.688766e+07,1,294.91208,312.08038
1.688766e+07,1,294.91208,312.08038
1.688769e+07,1,294.89978,312.09512
1.688769e+07,1,294.89978,312.09512
1.688772e+07,1,294.90097,312.10962
1.688772e+07,1,294.90097,312.10962
1.688775e+07,1,294.8901,312.12387
1.688775e+07,1,294.8901,312.12387
1.688778e+07,1,294.8983,312.13782
1.688778e+07,1,294.8983,312.13782
1.688781e+07,1,294.8942,312.15152
1.688781e+07,1,294.8942,312.15152
1.688782e+07,1,294.90744,312.1561
1.688782e+07,1,294.90744,312.1561
16887838,1,294.8932,312.1645
16887838,1,294.8932,312.1645
1.688784e+07,1,294.89285,312.16498
1.688784e+07,1,294.89285,312.16498
